x_m,y_m,throttle,heading_rad
1.104255502182372783e+00,-1.058498768402059476e+00,1.000000000000000000e+00,-3.135128828997855166e+00
1.104620269531803478e+00,-1.108467813921272471e+00,1.000000000000000000e+00,-3.137128354340809722e+00
1.104884598453412581e+00,-1.158437398618829439e+00,1.000000000000000000e+00,-3.139155822563483689e+00
1.105047120766580848e+00,-1.208407802327462477e+00,1.000000000000000000e+00,-3.141211795535500340e+00
1.105106461766348191e+00,-1.258378400218429283e+00,1.000000000000000000e+00,3.139888450992371460e+00
1.105061246811837705e+00,-1.308348829041437122e+00,1.000000000000000000e+00,3.137773622483141622e+00
1.104910097699924654e+00,-1.358319134856640575e+00,1.000000000000000000e+00,3.135628600730071547e+00
1.104651630353810310e+00,-1.408289368442059208e+00,1.000000000000000000e+00,3.133452879885836317e+00
1.104284464682881550e+00,-1.458258341050654661e+00,1.000000000000000000e+00,3.131245706920294580e+00
1.103807209801001887e+00,-1.508226224111183900e+00,1.000000000000000000e+00,3.129006415458873924e+00
1.103218466202336101e+00,-1.558193187450060746e+00,1.000000000000000000e+00,3.126734379132036779e+00
1.102516827301136981e+00,-1.608159263676075312e+00,1.000000000000000000e+00,3.124429246847501673e+00
1.101700887992311362e+00,-1.658123913133496163e+00,1.000000000000000000e+00,3.122090248833247816e+00
1.100769276698684296e+00,-1.708084705997507058e+00,1.000000000000000000e+00,3.119716667626434514e+00
1.099720536878748822e+00,-1.758043640385506201e+00,1.000000000000000000e+00,3.117307784478134280e+00
1.098553231994296997e+00,-1.808000729124625394e+00,1.000000000000000000e+00,3.114863089074478175e+00
1.097265914689689703e+00,-1.857955988775229939e+00,1.000000000000000000e+00,3.112382133494516090e+00
1.095857209638025909e+00,-1.907906600984048628e+00,1.000000000000000000e+00,3.109863970768336650e+00
1.094325680422999936e+00,-1.957852155073138700e+00,1.000000000000000000e+00,3.107307900599972861e+00
1.092669795901323626e+00,-2.007794752654802117e+00,1.000000000000000000e+00,3.104713202245424686e+00
1.090888067956891305e+00,-2.057734388967963124e+00,1.000000000000000000e+00,3.102079605069923751e+00
1.088978935813527116e+00,-2.107671056219174499e+00,1.000000000000000000e+00,3.099406148816402862e+00
1.086940898735899497e+00,-2.157597728977774132e+00,1.000000000000000000e+00,3.096692014346765554e+00
1.084771496575948957e+00,-2.207519568941112897e+00,1.000000000000000000e+00,3.093936461413006711e+00
1.082468215687302004e+00,-2.257437046332260611e+00,1.000000000000000000e+00,3.091138997720615400e+00
1.080028499991262603e+00,-2.307350042238504706e+00,1.000000000000000000e+00,3.088299044088299805e+00
1.077449942986867804e+00,-2.357255375503235495e+00,1.000000000000000000e+00,3.085415501590074605e+00
1.074730221674244035e+00,-2.407148756193299377e+00,1.000000000000000000e+00,3.082487598832202025e+00
1.071866453702214006e+00,-2.457035988444485675e+00,1.000000000000000000e+00,3.079514629960934613e+00
1.068856044031144759e+00,-2.506916881582820000e+00,1.000000000000000000e+00,3.076496456000069379e+00
