x_m,y_m,w_tr_right_m,w_tr_left_m
-2.401563290235971149e+00,-4.122581822493545545e+00,7.104180233927497312e-01,8.326340263752605164e-01
-2.386135773898275581e+00,-4.059657053412239591e+00,7.195524035228312298e-01,8.370322803384282473e-01
-2.369481580238435914e+00,-3.997175321415507909e+00,7.281468810298301619e-01,8.413303072753597345e-01
-2.351641805528278173e+00,-3.935134921333504288e+00,7.358625275689585354e-01,8.454836176661960634e-01
-2.332669351004360347e+00,-3.873524477620513107e+00,7.423748921248547461e-01,8.494386433677105774e-01
-2.312617117917902476e+00,-3.812332614718801693e+00,7.473971211271530635e-01,8.531326758563118062e-01
-2.291538007520128151e+00,-3.751547957070639594e+00,7.507021741376513901e-01,8.564967768744610188e-01
-2.269484921062258742e+00,-3.691159129118294135e+00,7.521404206867559061e-01,8.594599555285169501e-01
-2.246510759795516510e+00,-3.631154755304033976e+00,7.516494957492712015e-01,8.619548801096089674e-01
-2.222668424971123269e+00,-3.571523460070129108e+00,7.492537264540843900e-01,8.639218548083900107e-01
-2.198010817840301723e+00,-3.512253867858845524e+00,7.450531465615730653e-01,8.653121382441348874e-01
-2.172590839654273687e+00,-3.453334603112454992e+00,7.392038705969331547e-01,8.660887358561571991e-01
-2.146461391664259200e+00,-3.394754290273222175e+00,7.318924670541328004e-01,8.662250492570240379e-01
-2.119675375121483629e+00,-3.336501553783418839e+00,7.233094314526928859e-01,8.657018299267849049e-01
-2.092285691277166571e+00,-3.278565018085312310e+00,7.136262079945824288e-01,8.645027613549073342e-01
-2.064345241382530727e+00,-3.220933307621170361e+00,7.029795707529820081e-01,8.626106197236719231e-01
-2.035906926688798357e+00,-3.163595046833262980e+00,6.914662031731698688e-01,8.600042144201749394e-01
-2.007023648447190833e+00,-3.106538860163857940e+00,6.791482800693501298e-01,8.566570574238013824e-01
-1.977748307908930858e+00,-3.049753372055223011e+00,6.660686193685704248e-01,8.525378115760963160e-01
-1.948133806325239803e+00,-2.993227206949627295e+00,6.522738672125464321e-01,8.476127301805684855e-01
-1.918233044947340815e+00,-2.936948989289339451e+00,6.378395565476309148e-01,8.418491660482680938e-01
-1.888098925026454378e+00,-2.880907343516628583e+00,6.228929949038987113e-01,8.352196496831921779e-01
-1.857784347813803416e+00,-2.825090894073761572e+00,6.076286105795228876e-01,8.277063366715786685e-01
-1.827342214560609968e+00,-2.769488265403008853e+00,5.923124235861697562e-01,8.193060022615240579e-01
-1.796825426518095625e+00,-2.714088081946638198e+00,5.772720921906078217e-01,8.100344001972278329e-01
-1.766286884937482871e+00,-2.658878968146917821e+00,5.628756913715147192e-01,7.999318819982449424e-01
-1.735779491069993963e+00,-2.603849548446116380e+00,5.494999232331501116e-01,7.890687574725608888e-01
-1.705356146166849829e+00,-2.548988447286501646e+00,5.374938346652344823e-01,7.775505132201750991e-01
-1.675069751479274061e+00,-2.494284289110344499e+00,5.271440111147638330e-01,7.655215550575588113e-01
-1.644973208258486030e+00,-2.439725698359909600e+00,5.186470537359177957e-01,7.531662732524365689e-01
-1.615119417755711106e+00,-2.385301299477469161e+00,5.120935216578812454e-01,7.407060985939738496e-01
-1.585561281222168883e+00,-2.330999716905289620e+00,5.074652644387859235e-01,7.283916331722439796e-01
-1.556351699909082065e+00,-2.276809575085639636e+00,5.046466310580439707e-01,7.164891010399057070e-01
