x_m,y_m,throttle,heading_rad
8.843609195403886458e-01,5.716956126489044498e-01,1.000000000000000000e+00,4.430886801456646040e-02
8.819742885122230369e-01,6.215670490411732141e-01,1.000000000000000000e+00,4.431831941898400906e-02
8.795897193254103019e-01,6.714350619921727326e-01,1.000000000000000000e+00,4.428114968770668902e-02
8.772101895831072582e-01,7.212941285513363443e-01,1.000000000000000000e+00,4.419795224203348916e-02
8.748377376509769432e-01,7.711586592257729800e-01,1.000000000000000000e+00,4.406942225513521549e-02
8.724750808594051721e-01,8.210291682014893011e-01,1.000000000000000000e+00,4.389604744039221629e-02
8.701249508466645244e-01,8.709061731914505833e-01,1.000000000000000000e+00,4.367839662220340813e-02
8.677912394474698310e-01,9.207656346508601430e-01,1.000000000000000000e+00,4.341704448096761482e-02
8.654756504763637670e-01,9.706303456107150396e-01,9.982721801452889565e-01,4.311275430511840590e-02
8.631809017134910444e-01,1.020502003495763921e+00,9.920013066710254845e-01,4.276590996241846909e-02
8.609097816702739880e-01,1.070381136559368951e+00,9.856905392779296005e-01,4.237706353463543962e-02
8.586657879683371464e-01,1.120251374865779193e+00,9.793391067485303081e-01,4.194679291038694302e-02
8.564511534892530475e-01,1.170118274081780152e+00,9.729462126921524234e-01,4.147587227833016144e-02
8.542671687131717650e-01,1.219993037701629035e+00,9.665110343793271719e-01,4.096475384102249429e-02
8.521152014005860531e-01,1.269876117626665302e+00,9.600327215058821473e-01,4.041582368441254403e-02
8.499969409836829470e-01,1.319757612448132056e+00,9.535103948814530606e-01,3.983677098426197105e-02
8.479140403219336264e-01,1.369628011406370138e+00,9.469431450366903036e-01,3.924324318883343210e-02
8.458669501298753390e-01,1.419506967656968488e+00,9.403300307429153237e-01,3.865335881421017028e-02
8.438569579505489360e-01,1.469394925314319256e+00,9.336700774374028233e-01,3.808628748049502910e-02
8.418855770635628177e-01,1.519286935578310738e+00,9.269622755468313047e-01,3.756118113507733725e-02
8.399549478980171680e-01,1.569161616589275443e+00,9.202055787007342724e-01,3.709717687013336374e-02
8.380653561177054955e-01,1.619045549680446339e+00,9.133989018260023629e-01,3.671343859374420759e-02
8.362181461914758307e-01,1.668939176293980475e+00,9.065411191126087065e-01,3.642939699931324604e-02
8.344147669541205348e-01,1.718840456794119564e+00,8.996310618397603820e-01,3.626448267629744926e-02
8.326576195549559856e-01,1.768720163577176763e+00,8.926675160505890272e-01,3.623809399263278053e-02
8.309469550854957642e-01,1.818609817018860264e+00,8.856492200622786415e-01,3.636993431697055357e-02
8.292841784796260995e-01,1.868509854906038159e+00,8.785748617971699259e-01,3.667977032763181100e-02
8.276707757272947497e-01,1.918418693203793879e+00,8.714430759188519504e-01,3.718620897211133425e-02
8.261091849779286234e-01,1.968304103527432680e+00,8.642524407555373100e-01,3.790573751761550092e-02
8.245997531453603813e-01,2.018200146619621993e+00,8.570014749910862539e-01,3.885384170914796265e-02
8.231439486206998390e-01,2.068107255739054740e+00,8.496886341018639044e-01,4.004576923630187579e-02
8.217433783387304569e-01,2.118021461815469131e+00,8.423123065151576494e-01,4.149686091600379712e-02
8.204003224802449701e-01,2.167913150704133152e+00,8.348708094620859166e-01,4.322232716767548943e-02
8.191151024039495798e-01,2.217816202265755265e+00,8.273623844947705086e-01,4.523647308158595948e-02
8.178855808849906373e-01,2.267731030543477466e+00,8.197851926339401185e-01,4.755344981729248133e-02
8.166993968582659802e-01,2.317647272810325898e+00,8.121373091090324792e-01,5.018714399220325362e-02
8.155286802415155911e-01,2.367545195352993570e+00,8.044167176481689108e-01,5.315068644579645785e-02
