x_m,y_m,w_tr_right_m,w_tr_left_m
3.000820782955908594e-01,5.102567827070951800e+00,8.172299681944250604e-01,1.849615565495276170e+00
2.798890988504876276e-01,5.150345804682380013e+00,8.191784215651697343e-01,1.871420707430557995e+00
2.590627718486704367e-01,5.196860568996235052e+00,8.207749047089618610e-01,1.880602502575539736e+00
2.375880681336667022e-01,5.242074395786998409e+00,8.220144445948177614e-01,1.877427501675915655e+00
2.154499585490039781e-01,5.285949560829147131e+00,8.229271100097905745e-01,1.862528262208529073e+00
1.926334139382098187e-01,5.328448339897157382e+00,8.235866199455244008e-01,1.836875186251891723e+00
1.691234051448116393e-01,5.369533008765508875e+00,8.241267229990014709e-01,1.801757498676606950e+00
1.449049030123371051e-01,5.409165843208683100e+00,8.247532498972324211e-01,1.758760691760303807e+00
1.199628783843136870e-01,5.447309119001153555e+00,8.257505219179563927e-01,1.709720291442794249e+00
9.428230210426874480e-02,5.483925111917400841e+00,8.274787533202720979e-01,1.656637615954624998e+00
6.784814501572999923e-02,5.518976097731903785e+00,8.303553044136678940e-01,1.601565677785920405e+00
4.064537796222494892e-02,5.552424352219139436e+00,8.348245440245771753e-01,1.546470439146164999e+00
1.265897178728098149e-02,5.584232151153586621e+00,8.413164225732274737e-01,1.493093382963203375e+00
-1.612610266557434890e-02,5.614361770309725053e+00,8.502004126585623878e-01,1.442840179096573916e+00
-4.572487455281337709e-02,5.642775485462028229e+00,8.617413710282543216e-01,1.396714460266047730e+00
-7.615237303090865995e-02,5.669435572384982081e+00,8.760630072332216134e-01,1.355301932201328219e+00
-1.074236272563318662e-01,5.694304306853057440e+00,8.931248996736875778e-01,1.318808069135763761e+00
-1.395536663855571624e-01,5.717343964640739351e+00,9.127152460950251900e-01,1.287115959782296093e+00
-1.725575195750562174e-01,5.738516821522501310e+00,9.344583887291593172e-01,1.259901040213990742e+00
-2.064502159813014215e-01,5.757785153272823031e+00,9.578397614257843085e-01,1.236697745968735607e+00
-2.412467847607653315e-01,5.775111235666184228e+00,9.822414917391102396e-01,1.216991443598684608e+00
-2.769622550699203378e-01,5.790457344477059287e+00,1.006987343050656181e+00,1.200278671135365016e+00
-3.136116560652391638e-01,5.803785755479932362e+00,1.031389693703515631e+00,1.186105522729541395e+00
-3.512100169031938668e-01,5.815058744449277839e+00,1.054796067729931508e+00,1.174085980169161214e+00
-3.897723667402573366e-01,5.824238587159574543e+00,1.076624962307302980e+00,1.163905150680185407e+00
-4.293137347329017972e-01,5.831287559385300412e+00,1.096396581461165587e+00,1.155310898051550295e+00
-4.698454208131429555e-01,5.836171861906638725e+00,1.113745401846353289e+00,1.148100667441485534e+00
-5.113383805108195901e-01,5.838900157954201475e+00,1.128426088062439936e+00,1.142105455676560410e+00
-5.537389012316004111e-01,5.839507073939191883e+00,1.140307361276845954e+00,1.137174399417705040e+00
-5.969929162650297050e-01,5.838027608979757588e+00,1.149364161370566961e+00,1.133162278655156729e+00
-6.410463589006509810e-01,5.834496762194032904e+00,1.155668484594347900e+00,1.129916161082538784e+00
-6.858451624280087477e-01,5.828949532700162806e+00,1.159382276671378609e+00,1.127263662830296553e+00
-7.313352601366468475e-01,5.821420919616286049e+00,1.160753494832987176e+00,1.125019333881071226e+00
-7.774625853161093447e-01,5.811945922060544945e+00,1.160115487032232329e+00,1.122985685480551776e+00
-8.241730712559397487e-01,5.800559539151075583e+00,1.157883568600728275e+00,1.120957054442528911e+00
-8.714126512456832341e-01,5.787296770006026492e+00,1.154550248560154646e+00,1.118734741705529334e+00
-9.191272585748826440e-01,5.772192613743532874e+00,1.150672200251012356e+00,1.116142134655758511e+00
-9.672628265330821540e-01,5.755282069481735263e+00,1.146847774915915608e+00,1.113039540528831361e+00
-1.015765288409826494e+00,5.736600136338775080e+00,1.143680907306980021e+00,1.109336549184626985e+00
-1.064580577494658842e+00,5.716181813432796410e+00,1.141739847048084400e+00,1.105004158872406439e+00
-1.113654627077123260e+00,5.694062099881934458e+00,1.141504261091127459e+00,1.100075087756953618e+00
-1.162933370446764592e+00,5.670275994804335085e+00,1.143311839260336749e+00,1.094643514556991049e+00
-1.212362740893125901e+00,5.644858497318136159e+00,1.147305892405531047e+00,1.088855594443178809e+00
-1.261888671705751808e+00,5.617844606541478214e+00,1.153398570824025082e+00,1.082895635904336018e+00
